puck_id,x_ofset,y_offset,z_offset
L1a_tile_1001,0,42543,0
L1a_tile_1002,0,78885,0
L1a_tile_1003,0,115227,0
L1a_tile_1004,0,151569,0
L1a_tile_1005,0,187911,0
L1a_tile_1006,0,224253,0
L1a_tile_1007,0,260595,0
L1a_tile_1008,0,296937,0
L1a_tile_1009,0,333279,0
L1a_tile_1010,0,369621,0
L1a_tile_1011,0,405963,0
L1a_tile_1012,0,442305,0
L1a_tile_1013,0,478647,0
L1a_tile_1014,0,514989,0
L1a_tile_1015,0,551331,0
L1a_tile_1016,0,587673,0
L1a_tile_1017,0,624015,0
L1a_tile_1018,0,660357,0
L1a_tile_1019,0,696699,0
L1a_tile_1020,0,733041,0
L1a_tile_1021,0,769383,0
L1a_tile_1022,0,805725,0
L1a_tile_1023,0,842067,0
L1a_tile_1024,0,878409,0
L1a_tile_1025,0,914751,0
L1a_tile_1026,0,951093,0
L1a_tile_1027,0,987435,0
L1a_tile_1028,0,1023777,0
L1a_tile_1029,0,1060119,0
L1a_tile_1030,0,1096461,0
L1a_tile_1031,0,1132803,0
L1a_tile_1032,0,1169145,0
L1a_tile_1033,0,1205487,0
L1a_tile_1034,0,1241829,0
L1a_tile_1035,0,1278171,0
L1a_tile_1036,0,1314513,0
L1a_tile_1037,0,1350855,0
L1a_tile_1038,0,1387197,0
L1a_tile_1039,0,1423539,0
L1a_tile_1040,0,1459881,0
L1a_tile_1041,0,1496223,0
L1a_tile_1042,0,1532565,0
L1a_tile_1043,0,1568907,0
L1a_tile_1044,0,1605249,0
L1a_tile_1045,0,1641591,0
L1a_tile_1046,0,1677933,0
L1a_tile_1047,0,1714275,0
L1a_tile_1048,0,1750617,0
L1a_tile_1049,0,1786959,0
L1a_tile_1050,0,1823301,0
L1a_tile_1051,0,1859643,0
L1a_tile_1052,0,1895985,0
L1a_tile_1053,0,1932327,0
L1a_tile_1054,0,1968669,0
L1a_tile_1055,0,2005011,0
L1a_tile_1056,0,2041353,0
L1a_tile_1057,0,2077695,0
L1a_tile_1058,0,2114037,0
L1a_tile_1059,0,2150379,0
L1a_tile_1060,0,2186721,0
L1a_tile_1061,0,2223063,0
L1a_tile_1062,0,2259405,0
L1a_tile_1063,0,2295747,0
L1a_tile_1064,0,2332089,0
L1a_tile_1065,0,2368431,0
L1a_tile_1066,0,2404773,0
L1a_tile_1067,0,2441115,0
L1a_tile_1068,0,2477457,0
L1a_tile_1069,0,2513799,0
L1a_tile_1070,0,2550141,0
L1a_tile_1071,0,2586483,0
L1a_tile_1072,0,2622825,0
L1a_tile_1073,0,2659167,0
L1a_tile_1074,0,2695509,0
L1a_tile_1075,0,2731851,0
L1a_tile_1076,0,2768193,0
L1a_tile_1077,0,2804535,0
L1a_tile_1078,0,2840877,0
L1a_tile_1101,33809,36342,0
L1a_tile_1102,33809,72684,0
L1a_tile_1103,33809,109026,0
L1a_tile_1104,33809,145368,0
L1a_tile_1105,33809,181710,0
L1a_tile_1106,33809,218052,0
L1a_tile_1107,33809,254394,0
L1a_tile_1108,33809,290736,0
L1a_tile_1109,33809,327078,0
L1a_tile_1110,33809,363420,0
L1a_tile_1111,33809,399762,0
L1a_tile_1112,33809,436104,0
L1a_tile_1113,33809,472446,0
L1a_tile_1114,33809,508788,0
L1a_tile_1115,33809,545130,0
L1a_tile_1116,33809,581472,0
L1a_tile_1117,33809,617814,0
L1a_tile_1118,33809,654156,0
L1a_tile_1119,33809,690498,0
L1a_tile_1120,33809,726840,0
L1a_tile_1121,33809,763182,0
L1a_tile_1122,33809,799524,0
L1a_tile_1123,33809,835866,0
L1a_tile_1124,33809,872208,0
L1a_tile_1125,33809,908550,0
L1a_tile_1126,33809,944892,0
L1a_tile_1127,33809,981234,0
L1a_tile_1128,33809,1017576,0
L1a_tile_1129,33809,1053918,0
L1a_tile_1130,33809,1090260,0
L1a_tile_1131,33809,1126602,0
L1a_tile_1132,33809,1162944,0
L1a_tile_1133,33809,1199286,0
L1a_tile_1134,33809,1235628,0
L1a_tile_1135,33809,1271970,0
L1a_tile_1136,33809,1308312,0
L1a_tile_1137,33809,1344654,0
L1a_tile_1138,33809,1380996,0
L1a_tile_1139,33809,1417338,0
