puck_id,x_offset,y_offset,z_offset
fc_1_L1_tile_1001,0,30081,0
fc_1_L1_tile_1002,0,66363,0
fc_1_L1_tile_1003,0,102645,0
fc_1_L1_tile_1004,0,138927,0
fc_1_L1_tile_1005,0,175209,0
fc_1_L1_tile_1006,0,211491,0
fc_1_L1_tile_1007,0,247773,0
fc_1_L1_tile_1008,0,284055,0
fc_1_L1_tile_1009,0,320337,0
fc_1_L1_tile_1010,0,356619,0
fc_1_L1_tile_1011,0,392901,0
fc_1_L1_tile_1012,0,429183,0
fc_1_L1_tile_1013,0,465465,0
fc_1_L1_tile_1014,0,501747,0
fc_1_L1_tile_1015,0,538029,0
fc_1_L1_tile_1016,0,574311,0
fc_1_L1_tile_1017,0,610593,0
fc_1_L1_tile_1018,0,646875,0
fc_1_L1_tile_1019,0,683157,0
fc_1_L1_tile_1020,0,719439,0
fc_1_L1_tile_1021,0,755721,0
fc_1_L1_tile_1022,0,792003,0
fc_1_L1_tile_1023,0,828285,0
fc_1_L1_tile_1024,0,864567,0
fc_1_L1_tile_1025,0,900849,0
fc_1_L1_tile_1026,0,937131,0
fc_1_L1_tile_1027,0,973413,0
fc_1_L1_tile_1028,0,1009695,0
fc_1_L1_tile_1029,0,1045977,0
fc_1_L1_tile_1030,0,1082259,0
fc_1_L1_tile_1031,0,1118541,0
fc_1_L1_tile_1032,0,1154823,0
fc_1_L1_tile_1033,0,1191105,0
fc_1_L1_tile_1034,0,1227387,0
fc_1_L1_tile_1035,0,1263669,0
fc_1_L1_tile_1036,0,1299951,0
fc_1_L1_tile_1037,0,1336233,0
fc_1_L1_tile_1038,0,1372515,0
fc_1_L1_tile_1039,0,1408797,0
fc_1_L1_tile_1040,0,1445079,0
fc_1_L1_tile_1041,0,1481361,0
fc_1_L1_tile_1042,0,1517643,0
fc_1_L1_tile_1043,0,1553925,0
fc_1_L1_tile_1044,0,1590207,0
fc_1_L1_tile_1045,0,1626489,0
fc_1_L1_tile_1046,0,1662771,0
fc_1_L1_tile_1047,0,1699053,0
fc_1_L1_tile_1048,0,1735335,0
fc_1_L1_tile_1049,0,1771617,0
fc_1_L1_tile_1050,0,1807899,0
fc_1_L1_tile_1051,0,1844181,0
fc_1_L1_tile_1052,0,1880463,0
fc_1_L1_tile_1053,0,1916745,0
fc_1_L1_tile_1054,0,1953027,0
fc_1_L1_tile_1055,0,1989309,0
fc_1_L1_tile_1056,0,2025591,0
fc_1_L1_tile_1057,0,2061873,0
fc_1_L1_tile_1058,0,2098155,0
fc_1_L1_tile_1059,0,2134437,0
fc_1_L1_tile_1060,0,2170719,0
fc_1_L1_tile_1061,0,2207001,0
fc_1_L1_tile_1062,0,2243283,0
fc_1_L1_tile_1063,0,2279565,0
fc_1_L1_tile_1064,0,2315847,0
fc_1_L1_tile_1065,0,2352129,0
fc_1_L1_tile_1066,0,2388411,0
fc_1_L1_tile_1067,0,2424693,0
fc_1_L1_tile_1068,0,2460975,0
fc_1_L1_tile_1069,0,2497257,0
fc_1_L1_tile_1070,0,2533539,0
fc_1_L1_tile_1071,0,2569821,0
fc_1_L1_tile_1072,0,2606103,0
fc_1_L1_tile_1073,0,2642385,0
fc_1_L1_tile_1074,0,2678667,0
fc_1_L1_tile_1075,0,2714949,0
fc_1_L1_tile_1076,0,2751231,0
fc_1_L1_tile_1077,0,2787513,0
fc_1_L1_tile_1078,0,2823795,0
fc_1_L1_tile_1101,33739,36282,0
fc_1_L1_tile_1102,33739,72564,0
fc_1_L1_tile_1103,33739,108846,0
fc_1_L1_tile_1104,33739,145128,0
fc_1_L1_tile_1105,33739,181410,0
fc_1_L1_tile_1106,33739,217692,0
fc_1_L1_tile_1107,33739,253974,0
fc_1_L1_tile_1108,33739,290256,0
fc_1_L1_tile_1109,33739,326538,0
fc_1_L1_tile_1110,33739,362820,0
fc_1_L1_tile_1111,33739,399102,0
fc_1_L1_tile_1112,33739,435384,0
fc_1_L1_tile_1113,33739,471666,0
fc_1_L1_tile_1114,33739,507948,0
fc_1_L1_tile_1115,33739,544230,0
fc_1_L1_tile_1116,33739,580512,0
fc_1_L1_tile_1117,33739,616794,0
fc_1_L1_tile_1118,33739,653076,0
fc_1_L1_tile_1119,33739,689358,0
fc_1_L1_tile_1120,33739,725640,0
fc_1_L1_tile_1121,33739,761922,0
fc_1_L1_tile_1122,33739,798204,0
fc_1_L1_tile_1123,33739,834486,0
fc_1_L1_tile_1124,33739,870768,0
fc_1_L1_tile_1125,33739,907050,0
fc_1_L1_tile_1126,33739,943332,0
fc_1_L1_tile_1127,33739,979614,0
fc_1_L1_tile_1128,33739,1015896,0
fc_1_L1_tile_1129,33739,1052178,0
fc_1_L1_tile_1130,33739,1088460,0
fc_1_L1_tile_1131,33739,1124742,0
fc_1_L1_tile_1132,33739,1161024,0
fc_1_L1_tile_1133,33739,1197306,0
fc_1_L1_tile_1134,33739,1233588,0
fc_1_L1_tile_1135,33739,1269870,0
fc_1_L1_tile_1136,33739,1306152,0
fc_1_L1_tile_1137,33739,1342434,0
fc_1_L1_tile_1138,33739,1378716,0
fc_1_L1_tile_1139,33739,1414998,0
fc_1_L1_tile_1140,33739,1451280,0
fc_1_L1_tile_1141,33739,1487562,0
fc_1_L1_tile_1142,33739,1523844,0
fc_1_L1_tile_1143,33739,1560126,0
fc_1_L1_tile_1144,33739,1596408,0
fc_1_L1_tile_1145,33739,1632690,0
fc_1_L1_tile_1146,33739,1668972,0
fc_1_L1_tile_1147,33739,1705254,0
fc_1_L1_tile_1148,33739,1741536,0
fc_1_L1_tile_1149,33739,1777818,0
fc_1_L1_tile_1150,33739,1814100,0
fc_1_L1_tile_1151,33739,1850382,0
fc_1_L1_tile_1152,33739,1886664,0
fc_1_L1_tile_1153,33739,1922946,0
fc_1_L1_tile_1154,33739,1959228,0
fc_1_L1_tile_1155,33739,1995510,0
fc_1_L1_tile_1156,33739,2031792,0
fc_1_L1_tile_1157,33739,2068074,0
fc_1_L1_tile_1158,33739,2104356,0
fc_1_L1_tile_1159,33739,2140638,0
fc_1_L1_tile_1160,33739,2176920,0
fc_1_L1_tile_1161,33739,2213202,0
fc_1_L1_tile_1162,33739,2249484,0
fc_1_L1_tile_1163,33739,2285766,0
fc_1_L1_tile_1164,33739,2322048,0
fc_1_L1_tile_1165,33739,2358330,0
fc_1_L1_tile_1166,33739,2394612,0
fc_1_L1_tile_1167,33739,2430894,0
fc_1_L1_tile_1168,33739,2467176,0
fc_1_L1_tile_1169,33739,2503458,0
fc_1_L1_tile_1170,33739,2539740,0
fc_1_L1_tile_1171,33739,2576022,0
fc_1_L1_tile_1172,33739,2612304,0
fc_1_L1_tile_1173,33739,2648586,0
fc_1_L1_tile_1174,33739,2684868,0
fc_1_L1_tile_1175,33739,2721150,0
fc_1_L1_tile_1176,33739,2757432,0
fc_1_L1_tile_1177,33739,2793714,0
fc_1_L1_tile_1178,33739,2829996,0
fc_1_L1_tile_1201,67478,30081,0
fc_1_L1_tile_1202,67478,66363,0
fc_1_L1_tile_1203,67478,102645,0
fc_1_L1_tile_1204,67478,138927,0
fc_1_L1_tile_1205,67478,175209,0
fc_1_L1_tile_1206,67478,211491,0
fc_1_L1_tile_1207,67478,247773,0
fc_1_L1_tile_1208,67478,284055,0
fc_1_L1_tile_1209,67478,320337,0
fc_1_L1_tile_1210,67478,356619,0
fc_1_L1_tile_1211,67478,392901,0
fc_1_L1_tile_1212,67478,429183,0
fc_1_L1_tile_1213,67478,465465,0
fc_1_L1_tile_1214,67478,501747,0
fc_1_L1_tile_1215,67478,538029,0
fc_1_L1_tile_1216,67478,574311,0
fc_1_L1_tile_1217,67478,610593,0
fc_1_L1_tile_1218,67478,646875,0
fc_1_L1_tile_1219,67478,683157,0
fc_1_L1_tile_1220,67478,719439,0
fc_1_L1_tile_1221,67478,755721,0
fc_1_L1_tile_1222,67478,792003,0
fc_1_L1_tile_1223,67478,828285,0
fc_1_L1_tile_1224,67478,864567,0
fc_1_L1_tile_1225,67478,900849,0
fc_1_L1_tile_1226,67478,937131,0
fc_1_L1_tile_1227,67478,973413,0
fc_1_L1_tile_1228,67478,1009695,0
fc_1_L1_tile_1229,67478,1045977,0
fc_1_L1_tile_1230,67478,1082259,0
fc_1_L1_tile_1231,67478,1118541,0
fc_1_L1_tile_1232,67478,1154823,0
fc_1_L1_tile_1233,67478,1191105,0
fc_1_L1_tile_1234,67478,1227387,0
fc_1_L1_tile_1235,67478,1263669,0
fc_1_L1_tile_1236,67478,1299951,0
fc_1_L1_tile_1237,67478,1336233,0
fc_1_L1_tile_1238,67478,1372515,0
fc_1_L1_tile_1239,67478,1408797,0
fc_1_L1_tile_1240,67478,1445079,0
fc_1_L1_tile_1241,67478,1481361,0
fc_1_L1_tile_1242,67478,1517643,0
fc_1_L1_tile_1243,67478,1553925,0
fc_1_L1_tile_1244,67478,1590207,0
fc_1_L1_tile_1245,67478,1626489,0
fc_1_L1_tile_1246,67478,1662771,0
fc_1_L1_tile_1247,67478,1699053,0
fc_1_L1_tile_1248,67478,1735335,0
fc_1_L1_tile_1249,67478,1771617,0
fc_1_L1_tile_1250,67478,1807899,0
fc_1_L1_tile_1251,67478,1844181,0
fc_1_L1_tile_1252,67478,1880463,0
fc_1_L1_tile_1253,67478,1916745,0
fc_1_L1_tile_1254,67478,1953027,0
fc_1_L1_tile_1255,67478,1989309,0
fc_1_L1_tile_1256,67478,2025591,0
fc_1_L1_tile_1257,67478,2061873,0
fc_1_L1_tile_1258,67478,2098155,0
fc_1_L1_tile_1259,67478,2134437,0
fc_1_L1_tile_1260,67478,2170719,0
fc_1_L1_tile_1261,67478,2207001,0
fc_1_L1_tile_1262,67478,2243283,0
fc_1_L1_tile_1263,67478,2279565,0
fc_1_L1_tile_1264,67478,2315847,0
fc_1_L1_tile_1265,67478,2352129,0
fc_1_L1_tile_1266,67478,2388411,0
fc_1_L1_tile_1267,67478,2424693,0
fc_1_L1_tile_1268,67478,2460975,0
fc_1_L1_tile_1269,67478,2497257,0
fc_1_L1_tile_1270,67478,2533539,0
fc_1_L1_tile_1271,67478,2569821,0
fc_1_L1_tile_1272,67478,2606103,0
fc_1_L1_tile_1273,67478,2642385,0
fc_1_L1_tile_1274,67478,2678667,0
fc_1_L1_tile_1275,67478,2714949,0
fc_1_L1_tile_1276,67478,2751231,0
fc_1_L1_tile_1277,67478,2787513,0
fc_1_L1_tile_1278,67478,2823795,0
fc_1_L1_tile_1301,101217,36282,0
fc_1_L1_tile_1302,101217,72564,0
fc_1_L1_tile_1303,101217,108846,0
fc_1_L1_tile_1304,101217,145128,0
fc_1_L1_tile_1305,101217,181410,0
fc_1_L1_tile_1306,101217,217692,0
fc_1_L1_tile_1307,101217,253974,0
fc_1_L1_tile_1308,101217,290256,0
fc_1_L1_tile_1309,101217,326538,0
fc_1_L1_tile_1310,101217,362820,0
fc_1_L1_tile_1311,101217,399102,0
fc_1_L1_tile_1312,101217,435384,0
fc_1_L1_tile_1313,101217,471666,0
fc_1_L1_tile_1314,101217,507948,0
fc_1_L1_tile_1315,101217,544230,0
fc_1_L1_tile_1316,101217,580512,0
fc_1_L1_tile_1317,101217,616794,0
fc_1_L1_tile_1318,101217,653076,0
fc_1_L1_tile_1319,101217,689358,0
fc_1_L1_tile_1320,101217,725640,0
fc_1_L1_tile_1321,101217,761922,0
fc_1_L1_tile_1322,101217,798204,0
fc_1_L1_tile_1323,101217,834486,0
fc_1_L1_tile_1324,101217,870768,0
fc_1_L1_tile_1325,101217,907050,0
fc_1_L1_tile_1326,101217,943332,0
fc_1_L1_tile_1327,101217,979614,0
fc_1_L1_tile_1328,101217,1015896,0
fc_1_L1_tile_1329,101217,1052178,0
fc_1_L1_tile_1330,101217,1088460,0
fc_1_L1_tile_1331,101217,1124742,0
fc_1_L1_tile_1332,101217,1161024,0
fc_1_L1_tile_1333,101217,1197306,0
fc_1_L1_tile_1334,101217,1233588,0
fc_1_L1_tile_1335,101217,1269870,0
fc_1_L1_tile_1336,101217,1306152,0
fc_1_L1_tile_1337,101217,1342434,0
fc_1_L1_tile_1338,101217,1378716,0
fc_1_L1_tile_1339,101217,1414998,0
fc_1_L1_tile_1340,101217,1451280,0
fc_1_L1_tile_1341,101217,1487562,0
fc_1_L1_tile_1342,101217,1523844,0
fc_1_L1_tile_1343,101217,1560126,0
fc_1_L1_tile_1344,101217,1596408,0
fc_1_L1_tile_1345,101217,1632690,0
fc_1_L1_tile_1346,101217,1668972,0
fc_1_L1_tile_1347,101217,1705254,0
fc_1_L1_tile_1348,101217,1741536,0
fc_1_L1_tile_1349,101217,1777818,0
fc_1_L1_tile_1350,101217,1814100,0
fc_1_L1_tile_1351,101217,1850382,0
fc_1_L1_tile_1352,101217,1886664,0
fc_1_L1_tile_1353,101217,1922946,0
fc_1_L1_tile_1354,101217,1959228,0
fc_1_L1_tile_1355,101217,1995510,0
fc_1_L1_tile_1356,101217,2031792,0
fc_1_L1_tile_1357,101217,2068074,0
fc_1_L1_tile_1358,101217,2104356,0
fc_1_L1_tile_1359,101217,2140638,0
fc_1_L1_tile_1360,101217,2176920,0
fc_1_L1_tile_1361,101217,2213202,0
fc_1_L1_tile_1362,101217,2249484,0
fc_1_L1_tile_1363,101217,2285766,0
fc_1_L1_tile_1364,101217,2322048,0
fc_1_L1_tile_1365,101217,2358330,0
fc_1_L1_tile_1366,101217,2394612,0
fc_1_L1_tile_1367,101217,2430894,0
fc_1_L1_tile_1368,101217,2467176,0
fc_1_L1_tile_1369,101217,2503458,0
fc_1_L1_tile_1370,101217,2539740,0
fc_1_L1_tile_1371,101217,2576022,0
fc_1_L1_tile_1372,101217,2612304,0
fc_1_L1_tile_1373,101217,2648586,0
fc_1_L1_tile_1374,101217,2684868,0
fc_1_L1_tile_1375,101217,2721150,0
fc_1_L1_tile_1376,101217,2757432,0
fc_1_L1_tile_1377,101217,2793714,0
fc_1_L1_tile_1378,101217,2829996,0
fc_1_L1_tile_1401,134956,30081,0
fc_1_L1_tile_1402,134956,66363,0
fc_1_L1_tile_1403,134956,102645,0
fc_1_L1_tile_1404,134956,138927,0
fc_1_L1_tile_1405,134956,175209,0
fc_1_L1_tile_1406,134956,211491,0
fc_1_L1_tile_1407,134956,247773,0
fc_1_L1_tile_1408,134956,284055,0
fc_1_L1_tile_1409,134956,320337,0
fc_1_L1_tile_1410,134956,356619,0
fc_1_L1_tile_1411,134956,392901,0
fc_1_L1_tile_1412,134956,429183,0
fc_1_L1_tile_1413,134956,465465,0
fc_1_L1_tile_1414,134956,501747,0
fc_1_L1_tile_1415,134956,538029,0
fc_1_L1_tile_1416,134956,574311,0
fc_1_L1_tile_1417,134956,610593,0
fc_1_L1_tile_1418,134956,646875,0
fc_1_L1_tile_1419,134956,683157,0
fc_1_L1_tile_1420,134956,719439,0
fc_1_L1_tile_1421,134956,755721,0
fc_1_L1_tile_1422,134956,792003,0
fc_1_L1_tile_1423,134956,828285,0
fc_1_L1_tile_1424,134956,864567,0
fc_1_L1_tile_1425,134956,900849,0
fc_1_L1_tile_1426,134956,937131,0
fc_1_L1_tile_1427,134956,973413,0
fc_1_L1_tile_1428,134956,1009695,0
fc_1_L1_tile_1429,134956,1045977,0
fc_1_L1_tile_1430,134956,1082259,0
fc_1_L1_tile_1431,134956,1118541,0
fc_1_L1_tile_1432,134956,1154823,0
fc_1_L1_tile_1433,134956,1191105,0
fc_1_L1_tile_1434,134956,1227387,0
fc_1_L1_tile_1435,134956,1263669,0
fc_1_L1_tile_1436,134956,1299951,0
fc_1_L1_tile_1437,134956,1336233,0
fc_1_L1_tile_1438,134956,1372515,0
fc_1_L1_tile_1439,134956,1408797,0
fc_1_L1_tile_1440,134956,1445079,0
fc_1_L1_tile_1441,134956,1481361,0
fc_1_L1_tile_1442,134956,1517643,0
fc_1_L1_tile_1443,134956,1553925,0
fc_1_L1_tile_1444,134956,1590207,0
fc_1_L1_tile_1445,134956,1626489,0
fc_1_L1_tile_1446,134956,1662771,0
fc_1_L1_tile_1447,134956,1699053,0
fc_1_L1_tile_1448,134956,1735335,0
fc_1_L1_tile_1449,134956,1771617,0
fc_1_L1_tile_1450,134956,1807899,0
fc_1_L1_tile_1451,134956,1844181,0
fc_1_L1_tile_1452,134956,1880463,0
fc_1_L1_tile_1453,134956,1916745,0
fc_1_L1_tile_1454,134956,1953027,0
fc_1_L1_tile_1455,134956,1989309,0
fc_1_L1_tile_1456,134956,2025591,0
fc_1_L1_tile_1457,134956,2061873,0
fc_1_L1_tile_1458,134956,2098155,0
fc_1_L1_tile_1459,134956,2134437,0
fc_1_L1_tile_1460,134956,2170719,0
fc_1_L1_tile_1461,134956,2207001,0
fc_1_L1_tile_1462,134956,2243283,0
fc_1_L1_tile_1463,134956,2279565,0
fc_1_L1_tile_1464,134956,2315847,0
fc_1_L1_tile_1465,134956,2352129,0
fc_1_L1_tile_1466,134956,2388411,0
fc_1_L1_tile_1467,134956,2424693,0
fc_1_L1_tile_1468,134956,2460975,0
fc_1_L1_tile_1469,134956,2497257,0
fc_1_L1_tile_1470,134956,2533539,0
fc_1_L1_tile_1471,134956,2569821,0
fc_1_L1_tile_1472,134956,2606103,0
fc_1_L1_tile_1473,134956,2642385,0
fc_1_L1_tile_1474,134956,2678667,0
fc_1_L1_tile_1475,134956,2714949,0
fc_1_L1_tile_1476,134956,2751231,0
fc_1_L1_tile_1477,134956,2787513,0
fc_1_L1_tile_1478,134956,2823795,0
fc_1_L1_tile_1501,168695,36282,0
fc_1_L1_tile_1502,168695,72564,0
fc_1_L1_tile_1503,168695,108846,0
fc_1_L1_tile_1504,168695,145128,0
fc_1_L1_tile_1505,168695,181410,0
fc_1_L1_tile_1506,168695,217692,0
fc_1_L1_tile_1507,168695,253974,0
fc_1_L1_tile_1508,168695,290256,0
fc_1_L1_tile_1509,168695,326538,0
fc_1_L1_tile_1510,168695,362820,0
fc_1_L1_tile_1511,168695,399102,0
fc_1_L1_tile_1512,168695,435384,0
fc_1_L1_tile_1513,168695,471666,0
fc_1_L1_tile_1514,168695,507948,0
fc_1_L1_tile_1515,168695,544230,0
fc_1_L1_tile_1516,168695,580512,0
fc_1_L1_tile_1517,168695,616794,0
fc_1_L1_tile_1518,168695,653076,0
fc_1_L1_tile_1519,168695,689358,0
fc_1_L1_tile_1520,168695,725640,0
fc_1_L1_tile_1521,168695,761922,0
fc_1_L1_tile_1522,168695,798204,0
fc_1_L1_tile_1523,168695,834486,0
